2018-01-01,54,31,C3
2018-01-01,55,62,D1
2018-01-01,63,43,B3
2018-01-01,41,2,A3
2018-01-01,42,31,A1
2018-01-01,55,42,A3
2018-01-01,61,62,A3
2018-01-01,53,33,D1
2018-01-01,44,43,D2
2018-01-01,62,33,B1
2018-01-01,52,42,D1
2018-01-01,62,41,D2
2018-01-01,44,53,B2
2018-01-01,44,61,A0
2018-01-01,31,32,D1
2018-01-01,41,54,B2
2018-01-01,61,54,B2
2018-01-01,44,62,A1
2018-01-02,43,31,D2
2018-01-02,52,54,B2
2018-01-02,32,54,B1
2018-01-02,51,32,C2
2018-01-02,51,54,D2
2018-01-02,32,61,C3
2018-01-02,51,54,A0
2018-01-02,43,55,D2
2018-01-02,52,51,C3
2018-01-02,41,52,A1
2018-01-02,63,41,A1
2018-01-02,43,33,A1
2018-01-03,32,41,C2
2018-01-03,32,63,A0
2018-01-03,43,55,C2
2018-01-03,42,52,C2
2018-01-03,63,52,D1
2018-01-03,32,43,A3
2018-01-03,41,52,C3
2018-01-03,42,31,B1
2018-01-03,32,52,A2
2018-01-03,41,51,C3
2018-01-03,53,43,D1
2018-01-03,61,2,B2
2018-01-03,63,61,C2
2018-01-03,42,32,D2
2018-01-03,62,51,A2
2018-01-04,31,33,B3
2018-01-04,2,63,C1
2018-01-04,62,43,C3
2018-01-04,44,42,C3
2018-01-04,51,63,A1
2018-01-04,33,32,C2
2018-01-04,33,43,C3
2018-01-04,54,2,B1
2018-01-04,61,43,C1
2018-01-04,44,62,B2
2018-01-04,42,41,C2
2018-01-04,55,2,B1
2018-01-04,53,54,A2
2018-01-04,44,61,A1
2018-01-04,62,63,B1
2018-01-04,32,33,D2
2018-01-04,32,52,A2
2018-01-04,43,61,C3
2018-01-05,61,43,D1
2018-01-05,52,61,C2
2018-01-05,44,33,B3
2018-01-05,33,42,A1
2018-01-05,43,2,A1
2018-01-05,54,43,A0
2018-01-05,61,43,A1
2018-01-05,62,44,D1
2018-01-05,51,33,B1
2018-01-05,62,2,A2
2018-01-05,53,32,A0
2018-01-05,53,31,B3
2018-01-05,63,61,C3
2018-01-05,53,32,A2
2018-01-05,44,55,C2
2018-01-05,52,61,C2
2018-01-05,51,31,D2
2018-01-05,63,54,A2
2018-01-05,61,31,C2
2018-01-05,44,61,C1
2018-01-06,51,55,B1
2018-01-06,41,33,A3
2018-01-06,42,55,D1
2018-01-06,2,54,C2
2018-01-06,31,43,B3
2018-01-06,61,31,C2
2018-01-06,51,31,A2
2018-01-06,43,61,A1
2018-01-06,43,53,B1
2018-01-06,32,54,D1
2018-01-06,54,2,D1
2018-01-06,32,52,B3
2018-01-06,55,51,D2
2018-01-06,61,52,C1
2018-01-06,55,51,C2
2018-01-06,41,41,A3
2018-01-06,2,52,B2
2018-01-06,54,53,C2
2018-01-06,43,52,A0
